Scientific name	English name	 
Alces alces	Elk
Ammotragus lervia	Barbary sheep
Apodemus alpicola	Alpine mouse
Apodemus agrarius	Striped field mouse
Apodemus flavicollis	Yellow-necked mouse
Apodemus mystacinus	Rock mouse
Apodemus sylvaticus	Wood mouse
Arvicola sapidus	Southern water vole
Arvicola terrestris	Water vole
Atelerix algirus	Algerian hedgehog
Atlantoxerus getulus	Barbary ground squirrel
Balaenoptera acutorostrata	Minke whale
Balaenoptera borealis	Sei whale
Balaenoptera musculus	Blue whale
Balaenoptera physalus	Fin whale
Barbastella barbastellus	Barbastelle
Barbastella leucomelas	Eastern barbastelle
Callosciurus finlaysonii	Thailand tree squirrel
Canis aureus	Golden jackal
Canis lupus	Wolf
Castor fiber	Eurasian beaver
Capra aegagrus	Wild goat
Capra cylindricornis	East Caucasian tur
Capra ibex	Alpine ibex
Capra pyrenaica	Spanish ibex
Capreolus capreolus	Roe deer
Capreolus pygargus	Siberian roe deer
Cervus elaphus	Red deer
Cervus nippon	Sika deer
Chionomys gud	Caucasian snow vole
Chionomys nivalis	Snow vole
Clethrionomys glareolus	Bank vole
Clethrionomys rufocanus	Grey-sided vole
Clethrionomys rutilus	Red vole
Cricetulus migratorius	Grey hamster
Crocidura leucodon	Bi-coloured white-toothed shrew
Crocidura russula	Greater white-toothed shrew
Crocidura sicula	Sicilian shrew
Crocidura suaveolens	Lesser white-toothed shrew
Dama dama	Fallow deer
Desmana moschata	Russian desman
Dicrostonyx torquatus	Collared lemming
Dinaromys bogdanovi	Balkan snow vole
Dryomys nitedula	Forest dormouse
Eliomys quercinus	Garden dormouse
Ellobius talpinus	Northern mole-vole
Eptesicus bottae	Botta’s serotine
Eptesicus nilssonii	Northern bat
Eptesicus serotinus	Serotine
Erignathus barbatus	Bearded seal
Erinaceus concolor	Eastern hedgehog
Erinaceus europaeus	Western hedgehog
Felis chaus	Jungle cat
Felis silvestris	Wildcat
Galemys pyrenaicus	Pyrenean desman
Gazella subgutturosa	Goitred gazelle
Genetta genetta	Common genet
Glis glis	Fat dormouse, Edible dormouse
Grampus griseus	Risso’s dolphin
Gulo gulo	Wolverine
Halichoerus grypus	Grey seal
Hemiechinus auritus	Long-eared hedgehog
Herpestes ichneumon	Egyptian mongoose
Hyaena hyaena	Striped hyaena
Hydropotes inermis	Chinese water deer
Hyperoodon ampullatus	Northern bottlenose whale
Hystrix cristata	Crested porcupine
Hystrix indica	Indian crested porcupine
Lagenorhynchus acutus	White-sided dolphin
Lagenorhynchus albirostris	White-beaked dolphin
Lagurus lagurus	Steppe lemming
